,Index,title,subjects,contains_profanity
11830,46803,"Diary of Richard Cocks, Volume 1
Cape-Merchant in the English Factory in Japan, 1615-1622, with Correspondence","['East India Company -- Early works to 1800'
 'Cocks, Richard, -1624 -- Diaries' 'Adams, William, 1564-1620'
 'British -- Japan -- History -- 17th century'
 'Great Britain -- Commerce -- Japan -- Early works to 1800'
 'Japan -- Commerce -- Great Britain -- Early works to 1800' 'G']",True
13025,38471,"Dick Randall, the Young Athlete","['Boarding schools -- Juvenile fiction' 'Athletics -- Juvenile fiction'
 'PZ']",True
13398,39800,The Adventures of Dick Trevanion: A Story of Eighteen Hundred and Four,"['Boys -- Juvenile fiction' 'Smugglers -- Juvenile fiction'
 'Great Britain -- History -- 19th century -- Juvenile fiction' 'PZ']",True
13599,24064,Damned If You Don't,"['Science fiction' 'Inventors -- Fiction' 'Power (Mechanics) -- Fiction'
 'PS']",True
14011,31855,"Encyclopaedia Britannica, 11th Edition, ""Cockaigne"" to ""Columbus, Christopher""
Volume 6, Slice 6",['Encyclopedias and dictionaries' 'AE'],True
14081,60590,"Dardistan in 1866, 1886 and 1893
Being an account of the history, religions, customs, legends, fables, and songs of Gilgit, Chilas, Kandia (Gabrial), Dasin, Chitral, Hunsa, Nagyr, and other parts of the Hindukush, as also a supplement to the second edition of the Hunza and Nagyr handbook and an epitome of part III of the author's ""The languages and races of Dardistan""",['Dardistan (Pakistan) -- History' 'DS'],True
14195,27190,Pussy and Doggy Tales,['Dogs -- Juvenile fiction' 'Cats -- Juvenile fiction' 'PZ'],True
14589,34002,"Dick's Desertion: A Boy's Adventures in Canadian Forests
A Tale of the Early Settlement of Ontario",['Boys -- Juvenile fiction' 'Ontario -- History -- Juvenile fiction' 'PZ'],True
14781,32116,When the Cock Crows,['Fiction' 'PS'],True
14787,46802,The Biotic Associations of Cockroaches,['Cockroaches' 'Insects -- Ecology' 'QL'],True
14869,50816,Dick Kent with the Eskimos,"['Adventure stories' 'Eskimos -- Juvenile fiction'
 'Royal Canadian Mounted Police -- Juvenile fiction' 'PZ']",True
14934,27851,A Christmas Faggot,['Christian poetry' 'Christmas -- Poetry' 'PR'],True
14947,1340,Autobiography of Andrew Dickson White — Volume 1,"['Cornell University' 'Diplomats -- United States -- Biography'
 'White, Andrew Dickson, 1832-1918' 'E660']",True
14997,68354,The Undamned,"['Science fiction' 'Telepathy -- Fiction' 'Nuclear warfare -- Fiction'
 'Spouses -- Fiction' 'Nuclear weapons -- Fiction' 'PS']",True
15042,61144,"From the Black Mountain to Waziristan
Being an account of the border countries and the more turbulent of the tribes controlled by the north-west frontier province, and of our military relations with them in the past","['Ethnology -- Pakistan -- Khyber Pakhtunkhwa'
 'Khyber Pakhtunkhwa (Pakistan) -- History, Military' 'DS']",True
15307,44995,Dick & Fitzgerald Catalog (1866),"[""Publishers' catalogs -- New York (State) -- New York""
 'Dick & Fitzgerald -- Catalogs' 'Z']",True
16174,47201,"Kentucky's Famous Feuds and Tragedies
Authentic History of the World Renowned Vendettas of the Dark and Bloody Ground",['Crime -- Kentucky' 'Vendetta -- Kentucky' 'HV'],True
16243,20789,"The Grammar School Boys Snowbound; or, Dick & Co. at Winter Sports",['Snow camping -- Juvenile fiction' 'PZ'],True
16446,73005,Pussy Meow : $b The autobiography of a cat,['Animal welfare -- Juvenile fiction' 'Cats -- Juvenile fiction' 'PZ'],True
16925,72111,Dick's retriever,"['Christian life -- Juvenile fiction' 'Dogs -- Juvenile fiction'
 'Boys -- Juvenile fiction' 'Mothers and sons -- Juvenile fiction'
 'Bullying -- Juvenile fiction' 'PZ']",True
16990,12674,Cock Lane and Common-Sense,['Ghosts' 'Parapsychology -- Early works to 1900' 'BF'],True
17208,63499,Dick and Larry: Freshmen,"['Male friendship -- Fiction' 'College stories'
 'College freshmen -- Juvenile fiction' 'PZ']",True
17741,49032,Bloody Beaches: The Marines at Peleliu,"['United States. Marine Corps -- History -- World War, 1939-1945'
 'Peleliu, Battle of, Palau, 1944'
 'World War, 1939-1945 -- Campaigns -- Palau -- Peleliu Island' 'D731']",True
18532,20119,Ambrotox and Limping Dick,['Mystery fiction' 'PR'],True
18556,54747,"Tom, Dick and Harriet",['School sports -- Juvenile fiction' 'Sports stories' 'PZ'],True
18565,2679,"Poems by Emily Dickinson, Series Two",['American poetry' 'PS'],True
18717,53460,"Dick Hamilton's Steam Yacht; Or, A Young Millionaire and the Kidnappers","['Millionaires -- Juvenile fiction' 'Yachts -- Juvenile fiction'
 'Kidnapping -- Juvenile fiction' 'PZ']",True
18977,52787,"Pussy Black-Face; Or, The Story of a Kitten and Her Friends",['Cats -- Juvenile fiction' 'PZ'],True
20481,23897,The Owl and the Pussycat,"['English poetry' ""Children's poetry, English"" 'Nonsense verses'
 'Nonsense verses, English' 'Animals -- Juvenile poetry'
 'Animals -- Poetry' 'PR' 'PZ']",True
20486,54614,The Land of Cockayne: A Novel,['Italy -- Fiction' 'Italian fiction -- Translations into English' 'PQ'],True
20510,1370,Autobiography of Andrew Dickson White — Volume 2,"['Cornell University' 'Diplomats -- United States -- Biography'
 'White, Andrew Dickson, 1832-1918' 'E660']",True
20841,21634,"The Life and Adventures of Nat Love
Better Known in the Cattle Country as ""Deadwood Dick""","['West (U.S.) -- Biography' 'Love, Nat, 1854-1921'
 'African American cowboys -- West (U.S.) -- Biography'
 'Cowboys -- West (U.S.) -- Biography' 'F590.3']",True
20954,3782,Huntingtower,"['Scotland -- Fiction' 'Adventure stories' 'Kidnapping -- Fiction'
 'Princesses -- Fiction'
 'McCunn, Dickson (Fictitious character) -- Fiction' 'PR']",True
21423,18948,Damn! A Book of Calumny,['Essays' 'PS'],True
21555,3073,Pioneers of the Old Southwest: a chronicle of the dark and bloody ground,"['Boone, Daniel, 1734-1820' 'Kentucky -- History -- To 1792'
 'Southwest, Old -- History' 'Tennessee -- History'
 'Frontier and pioneer life -- Southwest, Old' 'F396']",True
21982,2225,"""Captains Courageous"": A Story of the Grand Banks","['Sea stories' 'Bildungsromans' 'Children of the rich -- Fiction'
 'Saltwater fishing -- Fiction' 'Fishing boats -- Fiction'
 'Teenage boys -- Fiction' 'Rescues -- Fiction' 'Fishers -- Fiction'
 'Grand Banks of Newfoundland -- Fiction' 'PR']",True
22008,32374,"Dick Hamilton's Fortune; Or, The Stirring Doings of a Millionaire's Son",['Children of the rich -- Juvenile fiction' 'PZ'],True
23937,49682,"Carols of Cockayne
The Third Edition, 1874",['English poetry -- 19th century' 'PR'],True
24023,31793,"Encyclopaedia Britannica, 11th Edition, ""Clervaux"" to ""Cockade""
Volume 6, Slice 5",['Encyclopedias and dictionaries' 'AE'],True
24040,56714,Dick Lester of Kurrajong,"['Country life -- Australia -- Juvenile fiction'
 'Australia -- Description and travel -- Juvenile fiction' 'PZ']",True
24189,40700,Dandy Dick: A Play in Three Acts,['English drama -- 19th century' 'PR'],True
24365,38586,Mr. Punch's Cockney Humour,"['English wit and humor' 'English wit and humor, Pictorial' 'PN']",True
24582,31685,Nuts and Nutcrackers,['English essays -- 19th century' 'PR'],True
25277,40126,The Cock and Anchor,['City and town life -- Fiction' 'Dublin (Ireland) -- Fiction' 'PR'],True
25548,53406,"Dick Hamilton's Touring Car; Or, A Young Millionaire's Race For A Fortune",['Millionaires -- Juvenile fiction' 'Automobiles -- Juvenile fiction' 'PZ'],True
26290,43109,The Third Miss St Quentin,"['Conduct of life -- Juvenile fiction'
 'Young women -- Conduct of life -- Juvenile fiction'
 'Fathers and daughters -- Juvenile fiction'
 'Motherless families -- Juvenile fiction'
 'Cinderella (Legendary character) -- Juvenile fiction'
 'Sponsors -- Juvenile fiction' 'Stepsisters -- Juvenile fiction'
 'Suspicion -- Juvenile fiction' 'PZ']",True
26672,42732,"The Englishman in China During the Victorian Era, Vol. 1 (of 2)
As Illustrated in the Career of Sir Rutherford Alcock, K.C.B., D.C.L., Many Years Consul and Minister in China and Japan","['Alcock, Rutherford, Sir, 1809-1897'
 'China -- Foreign relations -- Great Britain'
 'Great Britain -- Foreign relations -- China'
 'Japan -- Foreign relations -- Great Britain'
 'Great Britain -- Foreign relations -- Japan' 'DS']",True
27837,15521,The Adventures of Prickly Porky,"['Animals -- Juvenile fiction' 'Friendship -- Juvenile fiction'
 'Porcupines -- Juvenile fiction' 'PZ']",True
28001,27909,Dick Leslie's Luck: A Story of Shipwreck and Adventure,['Fiction' 'Adventure stories' 'PR' 'PZ'],True
28366,62829,"Frank Merriwell's Setback; Or, True Pluck Welcomes Defeat","['Love stories' 'Brothers -- Juvenile fiction'
 'Yale University -- Juvenile fiction' 'Sports stories'
 'Merriwell, Frank (Fictitious character) -- Juvenile fiction'
 'Hockey -- Juvenile fiction'
 'Merriwell, Dick (Fictitious character) -- Juvenile fiction' 'PZ']",True
28668,20689,Ragged Dick,"['New York (N.Y.) -- Fiction' 'Bildungsromans' 'Boys -- Fiction'
 'Poor children -- Fiction' 'Shoe shiners -- Fiction'
 'Street children -- Fiction' 'PZ' 'PS']",True
28916,21037,The Cock-House at Fellsgarth,"['Boys -- Conduct of life -- Juvenile fiction'
 'Boarding schools -- England -- Juvenile fiction'
 'Schools -- Juvenile fiction' 'PZ']",True
28958,12692,"The High School Captain of the Team; or, Dick & Co. Leading the Athletic Vanguard","['High school students -- Juvenile fiction' 'Football -- Juvenile fiction'
 'PZ']",True
29019,22307,"The Grammar School Boys of Gridley; or, Dick & Co. Start Things Moving",['Schools -- Fiction' 'PZ'],True
29162,20113,"Nonsense Drolleries
The Owl & The Pussy-Cat—The Duck & The Kangaroo.","[""Children's literature"" 'English wit and humor'
 'Nonsense verses, English' 'Humorous poetry, English' 'PR' 'PZ']",True
29370,58439,Index of the Project Gutenberg Works of Stephen Leacock,['Indexes' 'PS'],True
29383,54951,"The History of the Lives and Bloody Exploits of the Most Noted Pirates; Their Trials and Executions
Including a Correct Account of the Late Piracies Committed in the West-Indies, and the Expedition of Commodore Porter; also, Those Committed on the Brig Mexican, Who Were Tried and Executed at Boston, in 1835","['Pirates -- Caribbean Area -- History' 'Trials (Piracy)'
 'Pirates -- Atlantic Coast (U.S.) -- History'
 'Pirates -- Caribbean Area -- Biography'
 'Pirates -- Atlantic Coast (U.S.) -- Biography' 'Buccaneers -- History'
 'Buccaneers -- Biography' 'Privateering -- Caribbean Area -- History'
 'Privateering -- Atlantic Coast (U.S.) -- History'
 'Caribbean Area -- History, Naval'
 'Atlantic Coast (U.S.) -- History, Naval' 'F2155']",True
29638,14902,"Deadwood Dick, the Prince of the Road; or, The Black Rider of the Black Hills",['Fiction' 'Western stories' 'Dime novels' 'PS'],True
29727,63458,Pussy-Cat Town,['Cats -- Juvenile fiction' 'PZ'],True
29987,23172,"The Damned Thing
1898, From ""In the Midst of Life""",['Short stories' 'Horror tales' 'PS'],True
30419,21685,The Cockatoo's Story,['Parrots -- Juvenile fiction' 'PZ'],True
30953,2186,"""Captains Courageous"": A Story of the Grand Banks","['Sea stories' 'Bildungsromans' 'Children of the rich -- Fiction'
 'Saltwater fishing -- Fiction' 'Fishing boats -- Fiction'
 'Teenage boys -- Fiction' 'Rescues -- Fiction' 'Fishers -- Fiction'
 'Grand Banks of Newfoundland -- Fiction' 'PR']",True
31165,12819,"Dick Prescott's Second Year at West Point
Or, Finding the Glory of the Soldier's Life","['College stories' 'United States Military Academy -- Juvenile fiction'
 'Military cadets -- United States -- Juvenile fiction' 'PZ']",True
31367,26870,On the uncertainty of the signs of murder in the case of bastard children,['Infanticide' 'Illegitimacy' 'HV'],True
31462,16255,Dickey Downy: The Autobiography of a Bird,['Birds -- Juvenile literature' 'PZ' 'QL'],True
31745,66231,"Wolf-Cap; or, The Night-Hawks of the Fire-Lands: A Tale of the Bloody Fort","['Indians of North America -- Fiction'
 'United States -- History -- War of 1812 -- Fiction'
 'Frontier and pioneer life -- Fiction' 'Dime novels'
 'Trappers -- Fiction' 'PS']",True
31762,65855,"The Bloody Theatre, or Martyrs Mirror of the Defenseless Christians
who baptized only upon confession of faith, and who suffered and died for the testimony of Jesus, their savior, from the time of Christ to the year A.D. 1660","['Persecution' 'Christian martyrs -- Biography'
 'Anabaptists -- Europe -- Biography' 'BR']",True
31921,13168,Dick in the Everglades,['Everglades (Fla.) -- Juvenile fiction' 'PZ'],True
32017,41827,"Dick Merriwell Abroad; Or, The Ban of the Terrible Ten","['Adventure stories' 'Boys -- Juvenile fiction' 'Mystery fiction'
 'Americans -- Europe -- Juvenile fiction' 'PZ']",True
32053,23776,"The School of Recreation (1684 edition)
Or, The Gentlemans Tutor, to those Most Ingenious Exercises of Hunting, Racing, Hawking, Riding, Cock-fighting, Fowling, Fishing","['Sports' 'Recreation -- Handbooks, manuals, etc.' 'GV']",True
32298,28016,In the Tail of the Peacock,['Morocco -- Description and travel' 'DT'],True
32323,7964,The mystery of Cloomber,"['Revenge -- Fiction' 'Mystery fiction'
 'East India Company. Army -- Officers -- Fiction' 'Massacres -- Fiction'
 'Buddhist priests -- Fiction' 'Wigtownshire (Scotland) -- Fiction'
 'Hindu Kush Mountains Region (Afghanistan and Pakistan) -- Fiction' 'PR']",True
33458,24562,"The Panjab, North-West Frontier Province, and Kashmir","['India -- Description and travel' 'Punjab (India)'
 'North-west Frontier Province (Pakistan)' 'Jammu and Kashmir (India)'
 'DS']",True
34654,16433,The Gay Cockade,['Short stories' 'PS'],True
35254,63608,"Dick Merriwell's Heroic Players; Or, How the Yale Nine Won the Championship","['Baseball -- Juvenile fiction' 'Dime novels'
 'Yale University -- Juvenile fiction'
 'Merriwell, Dick (Fictitious character) -- Juvenile fiction' 'PZ']",True
35527,61830,"Dick Merriwell's Assurance; Or, In His Brother's Footsteps","['Schools -- Juvenile fiction' 'Baseball -- Juvenile fiction'
 'Adventure stories' 'Dime novels' 'PZ']",True
35835,23541,"Dick, Marjorie and Fidge: A Search for the Wonderful Dodo",['Fantasy literature' 'PZ'],True
36392,37699,Hell: Warm Words on the Cheerful and Comforting Doctrine of Eternal Damnation,['Christianity -- Controversial literature' 'Hell' 'Agnosticism' 'BT'],True
37010,24046,John Eliot's First Indian Teacher and Interpreter Cockenoe-de-Long Island and The Story of His Career from the Early Records,"['Cockenoe-de-Long Island, active 1649-1687' 'Eliot, John, 1604-1690'
 'Indians of North America -- New York (State) -- Long Island' 'E011']",True
37359,45255,Cups and Their Customs,['Liquors' 'Drinking customs' 'Cocktails' 'Drinking cups' 'TX'],True
37787,21942,Dickory Dock,"['Conduct of life -- Juvenile fiction'
 'Children -- Conduct of life -- Juvenile fiction'
 'Siblings -- Juvenile fiction' 'PZ']",True
37839,2678,"Poems by Emily Dickinson, Series One",['American poetry' 'PS'],True
38341,12691,"The High School Left End; or, Dick & Co. Grilling on the Football Gridiron","['High school students -- Juvenile fiction' 'Football -- Juvenile fiction'
 'PZ']",True
38399,42970,The Gates of India: Being an Historical Narrative,"['Afghanistan -- Description and travel'
 'Balochistan (Pakistan) -- Description and travel' 'DS']",True
38528,48012,"Diary of Richard Cocks, Volume 2
Cape-Merchant in the English Factory in Japan, 1615-1622, with Correspondence","['East India Company -- Early works to 1800'
 'Cocks, Richard, -1624 -- Diaries' 'Adams, William, 1564-1620'
 'British -- Japan -- History -- 17th century'
 'Great Britain -- Commerce -- Japan -- Early works to 1800'
 'Japan -- Commerce -- Great Britain -- Early works to 1800' 'G']",True
38902,18327,"The Cockaynes in Paris; Or, 'Gone abroad'",['Paris (France) -- Description and travel' 'PR'],True
38910,55423,Le Coq d'Or (The Golden Cock): An Opera in Three Acts,['Operas -- Librettos' 'ML'],True
39278,57451,"Woodcock's Little Game: A Comedy-Farce, In Two Acts",['Comedies' 'English drama -- 19th century' 'PR'],True
39531,12241,"Poems by Emily Dickinson, Third Series",['American poetry' 'PS'],True
39777,35500,Nuts and Nutcrackers,['Essays' 'PR'],True
40547,21375,The Weathercock: Being the Adventures of a Boy with a Bias,"['Young men -- Conduct of life -- Juvenile fiction'
 'Friendship -- Juvenile fiction'
 'England -- Social life and customs -- 19th century -- Juvenile fiction'
 'Inventions -- Juvenile fiction' 'Romanies -- Juvenile fiction' 'PZ']",True
40717,23281,"The Peacock 'At Home:'
A Sequel to the Butterfly's Ball",['Birds -- Juvenile poetry' 'PZ'],True
40750,31142,"On the Nature of Thought
Or, The act of thinking and its connexion with a perspicuous sentence",['Thought and thinking' 'BF'],True
40794,50505,Dick Kent in the Far North,"['Adventure stories' 'Royal Canadian Mounted Police -- Juvenile fiction'
 'Canada, Northern -- Juvenile fiction' 'PZ']",True
41078,28794,"Moby Dick; Or, The Whale","['Whaling -- Fiction' 'Sea stories' 'Psychological fiction'
 'Ship captains -- Fiction' 'Adventure stories' 'Mentally ill -- Fiction'
 'Ahab, Captain (Fictitious character) -- Fiction' 'Whales -- Fiction'
 'Whaling ships -- Fiction' 'PS']",True
42281,9404,The Story of the Malakand Field Force: An Episode of Frontier War,"['Churchill, Winston, 1874-1965'
 'Prime ministers -- Great Britain -- Biography'
 'North-west Frontier Province (Pakistan) -- History' 'DS']",True
42469,63024,"Dick Merriwell's Fighting Chance; Or, The Split in the Varsity","['Adventure stories' 'Dime novels' 'Yale University -- Juvenile fiction'
 'Merriwell, Dick (Fictitious character) -- Juvenile fiction' 'PZ']",True
42884,51848,Dick Kent at Half-Way House,"['Adventure stories' 'Royal Canadian Mounted Police -- Juvenile fiction'
 'PZ']",True
43827,32184,"The Lion's Masquerade
A Sequel to The Peacock at Home","[""Children's poetry"" 'Animals -- Juvenile poetry' 'PZ']",True
44896,60326,Maradick at Forty: A Transition,"['Cornwall (England : County) -- Fiction'
 'England -- Social life and customs -- 20th century -- Fiction'
 'Vacations -- Fiction' 'PR']",True
45603,21399,"Dick and His Cat
An Old Tale in a New Garb","['Fairy tales' 'Cats -- Juvenile fiction' 'Poverty -- Juvenile fiction'
 'Success -- Juvenile fiction'
 'Whittington, Richard, -1423 -- Juvenile fiction' 'PZ']",True
46060,72999,The suspicions of Ermengarde,"['Humorous stories' 'British -- France -- Fiction' 'Spouses -- Fiction'
 'Riviera (France) -- Fiction' 'PR']",True
46515,51351,The Spicy Sound of Success,['Science fiction' 'Short stories' 'Space ships -- Fiction' 'PS'],True
46747,53958,The Kallikak Family: A Study in the Heredity of Feeble-Mindedness,"['Heredity, Human' 'Mental retardation' 'People with mental disabilities'
 'HQ']",True
47473,21059,The Adventures of Dick Maitland: A Tale of Unknown Africa,['Adventure stories' 'Africa -- Juvenile fiction' 'PZ'],True
47498,54372,"The Royal Pastime of Cock-fighting
The art of breeding, feeding, fighting, and curing cocks of the game",['Cockfighting' 'SF'],True
47521,18953,The Tale of Dickie Deer Mouse,['Animals -- Juvenile fiction' 'Mice -- Juvenile fiction' 'PZ'],True
47608,68699,"Dusky Dick: or, Old Toby Castor's great campaign
A story of the last Sioux outbreak","['Frontier and pioneer life -- Fiction' 'Dakota Indians -- Fiction'
 'Minnesota -- Fiction' 'Abduction -- Fiction' 'Dime novels'
 'Indian captivities -- Fiction' 'Scouts (Reconnaissance) -- Fiction' 'PS']",True
47776,32537,"The Newsboy Partners; Or, Who Was Dick Box?","['Newspaper vendors -- Juvenile fiction' 'Paperboys -- Juvenile fiction'
 'PZ']",True
47958,65080,"Dick Rodney; or, The Adventures of an Eton Boy","['Sea stories' 'Conduct of life -- Juvenile fiction' 'Adventure stories'
 'Voyages and travels -- Juvenile fiction'
 'Seafaring life -- Juvenile fiction'
 'Natural history -- Juvenile fiction' 'Sailors -- Juvenile fiction'
 'Survival skills -- Juvenile fiction' 'Castaways -- Juvenile fiction'
 'Youth -- Conduct of life -- Juvenile fiction' 'PZ']",True
48468,21873,Planet of the Damned,"['Science fiction' 'Human-alien encounters -- Fiction'
 'Life on other planets -- Fiction' 'PS']",True
49552,62719,"Frank Merriwell's Support; Or, A Triple Play","['Baseball -- Juvenile fiction' 'Dime novels'
 'Merriwell, Frank (Fictitious character) -- Juvenile fiction'
 'Merriwell, Dick (Fictitious character) -- Juvenile fiction' 'PZ']",True
49568,53166,Dick and Dolly,"['Orphans -- Juvenile fiction' 'Twins -- Juvenile fiction'
 'Siblings -- Juvenile fiction' 'Aunts -- Juvenile fiction'
 'Children -- Juvenile fiction' 'PZ']",True
49737,41410,"Dick Hamilton's Football Team; Or, A Young Millionaire On The Gridiron",['Football -- Juvenile fiction' 'PZ'],True
49912,62930,"Dick Merriwell's Backers; Or, Well Worth Fighting For","['Baseball -- Juvenile fiction' 'Dime novels'
 'Yale University -- Juvenile fiction'
 'Merriwell, Dick (Fictitious character) -- Juvenile fiction' 'PZ']",True
50558,18981,"Dick the Bank Boy; Or, A Missing Fortune",['Banks and banking -- Juvenile fiction' 'PZ'],True
51234,64687,"To Be ""Talked About"" Use Cookie 'n' Cracker Cookin'",['Cooking' 'Cookies' 'Crackers' 'TX'],True
51436,63245,"""White man bery unsartin"": ""Nigger haint got no friends, no how""; the blackest chapter in the history of the Republican Party; the men who robbed and combined to rob the freedmen of their hard earnings.","[""Freedman's Savings and Trust Company"" 'E151' 'HG']",True
51469,66264,Damned: The Intimate Story of a Girl,"['Fantasy fiction' 'Man-woman relationships -- Fiction' 'Devil -- Fiction'
 'Hell -- Fiction' 'PS']",True
51643,12810,"Uncle Sam's Boys with Pershing's Troops
Or, Dick Prescott at Grips with the Boche","['World War, 1914-1918 -- Juvenile fiction'
 'United States. Army -- Juvenile fiction' 'PZ']",True
